DATASET_MULTIBAR

SEPARATOR COMMA

DATASET_LABEL,example multi bar chart
Bacillus cabrialesii subsp. tritici TSO2,0.2444349315068493
Bacillus dicomae MHSD28T,0.5299657534246576
Bacillus mexicanus FSQ1,0.1397688356164383
Bacillus siamensis KCTC 13613,0.1470462328767123
Bacillus axarquiensis NRRL B-41617,0.168236301369863
'Bacillus oryzicola KACC 18228T',0.1389126712328767
Bacillus sonorensis KCTC 13918,0.2771832191780822
Bacillus stercoris D7XPN1,0.0
'Bacillus licheniformis' (GCA_002504325.1),0.2741866438356164
Bacillus halotolerans DSM 8802,0.2277397260273972
'Bacillus subtilis' (GCA_000772205.1),0.1626712328767123
Bacillus proteolyticus MCCC 1A00365,0.6209332191780822
'Bacillus subtilis subsp. subtilis str. 168' (GCA_000009045.1),0.2553510273972603
Bacillus mycoides DSM 2048,0.5618578767123288
Bacillus paramycoides NH24A2,0.5241866438356164
'Bacillus subtilis' (GCA_002055965.1),0.2780393835616438
Bacillus australimaris NH7I_1,0.1359160958904109
'Bacillus amyloliquefaciens DSM 7 = ATCC 23350' (GCA_000196735.1),0.2153253424657534
'Bacillus licheniformis' (GCA_001726125.1),0.3291952054794521
'Bacillus licheniformis' (GCA_002074075.1),0.2930222602739726
Bacillus swezeyi NRRL B-41294,0.2795376712328767
Bacillus toyonensis NCIMB 14858,0.4086044520547945
Bacillus licheniformis DSM 13,0.2452910958904109
'Bacillus licheniformis DSM 13 = ATCC 14580' (GCA_000008425.1),0.2690496575342466
'BREB03',0.2089041095890411
Bacillus cabrialesii TE3,0.2153253424657534
'Bacillus cereus ATCC 14579' (GCA_000007825.1),0.5314640410958904
