DATASET_MULTIBAR

SEPARATOR COMMA

DATASET_LABEL,Genome size (in bp)
Bacillus cabrialesii subsp. tritici TSO2,0.1441229026933538
Bacillus dicomae MHSD28T,0.4006666703287961
Bacillus mexicanus FSQ1,0.0
Bacillus siamensis KCTC 13613,0.0387845961881707
Bacillus axarquiensis NRRL B-41617,0.0963811446718152
'Bacillus oryzicola KACC 18228T',0.0675380093437199
Bacillus sonorensis KCTC 13918,0.170878827662831
Bacillus stercoris D7XPN1,0.0997637316122952
'Bacillus licheniformis' (GCA_002504325.1),0.1365616225512306
Bacillus halotolerans DSM 8802,0.1020694490305834
'Bacillus subtilis' (GCA_000772205.1),0.0798773512142909
Bacillus proteolyticus MCCC 1A00365,0.4577051509682365
'Bacillus subtilis subsp. subtilis str. 168' (GCA_000009045.1),0.1274711998946934
Bacillus mycoides DSM 2048,0.3973030043906898
Bacillus paramycoides NH24A2,0.3746478506453384
'Bacillus subtilis' (GCA_002055965.1),0.1446050830764247
Bacillus australimaris NH7I_1,0.0121952981105649
'Bacillus amyloliquefaciens DSM 7 = ATCC 23350' (GCA_000196735.1),0.0795772600476117
'Bacillus licheniformis' (GCA_001726125.1),0.1694992221026604
'Bacillus licheniformis' (GCA_002074075.1),0.1447849343247938
Bacillus swezeyi NRRL B-41294,0.1885722028502353
Bacillus toyonensis NCIMB 14858,0.2922289815638229
Bacillus licheniformis DSM 13,0.1288935302989335
'Bacillus licheniformis DSM 13 = ATCC 14580' (GCA_000008425.1),0.128903295977578
'BREB03',0.0851959839460381
Bacillus cabrialesii TE3,0.0967984239822281
'Bacillus cereus ATCC 14579' (GCA_000007825.1),0.3708406601354622
